color_name,hex,R,G,B,color_class
Rackley,#6985a2,105,133,162,Grey
Bittersweet Shimmer,#bd4d63,189,77,99,Red
Deep Carmine,#a80e41,168,14,65,Red
Fandango,#af3c8b,175,60,139,Purple
Topaz,#f9c689,249,198,137,Orange
Dark Chestnut,#917163,145,113,99,Brown
Han Purple,#6e28f9,110,40,249,Blue
Sandy Taupe,#846e13,132,110,19,Green
Turquoise,#21d3c6,33,211,198,Green
Violet-Blue,#3844b2,56,68,178,Blue
Dark Sea Green,#80cc8b,128,204,139,Green
Periwinkle,#d0d1fc,208,209,252,Blue
Timberwolf,#dbe6cd,219,230,205,Grey
Medium Turquoise,#3dcedf,61,206,223,Blue
Mordant Red 19,#b40708,180,7,8,Red
Little Boy Blue,#56a9dd,86,169,221,Blue
Olive Drab #7,#373105,55,49,5,Brown
Indigo (Dye),#154361,21,67,97,Blue
Persian Rose,#e52eb0,229,46,176,Pink
Oxford Blue,#09253a,9,37,58,Black
Regalia,#5a2384,90,35,132,Purple
Pale Chestnut,#eba7b6,235,167,182,Pink
Medium Spring Bud,#bdca8b,189,202,139,Green
Turquoise Green,#add6b8,173,214,184,Green
Midnight Blue,#210267,33,2,103,Blue
Lilac,#c7a4c7,199,164,199,Purple
Otter Brown,#6a3223,106,50,35,Brown
Pistachio,#a3d67a,163,214,122,Green
Pearly Purple,#ae6994,174,105,148,Purple
Green (Ryb),#8a9f31,138,159,49,Green
Olive Drab (Web) (Olive Drab #3),#819e17,129,158,23,Green
Pink Pearl,#e494cf,228,148,207,Pink
Light Fuchsia Pink,#f592f0,245,146,240,Pink
International Orange (Engineering),#ba100e,186,16,14,Red
Pearly Purple,#be59a8,190,89,168,Pink
Byzantium,#723674,114,54,116,Purple
Medium Aquamarine,#53d8a6,83,216,166,Green
Royal Blue (Web),#3d4ce3,61,76,227,Blue
June Bud,#b2d762,178,215,98,Green
Teal Blue,#3f738e,63,115,142,Blue
Red (Ryb),#fe3b11,254,59,17,Orange
Mountbatten Pink,#9d6995,157,105,149,Purple
Blue-Violet,#8335e7,131,53,231,Purple
Palatinate Purple,#5b1459,91,20,89,Purple
Han Purple,#6718d4,103,24,212,Blue
Mantis,#74b254,116,178,84,Green
Lime Green,#3bb033,59,176,51,Green
Blue Sapphire,#2c5383,44,83,131,Blue
Green-Yellow,#83fd44,131,253,68,Green
Dark Khaki,#b3bb70,179,187,112,Green
United Nations Blue,#5683f7,86,131,247,Blue
Dark Gray,#a2aaad,162,170,173,Grey
Yellow-Green,#81e336,129,227,54,Green
Medium Spring Green,#16f1b4,22,241,180,Green
Light Sea Green,#2d9bae,45,155,174,Blue
Medium Turquoise,#40d8fd,64,216,253,Blue
Mardi Gras,#9b027a,155,2,122,Purple
Thulian Pink,#ee64a7,238,100,167,Pink
Red (Ryb),#f0250c,240,37,12,Red
Pearl Aqua,#87eebf,135,238,191,Green
Dark Pastel Green,#01bb1c,1,187,28,Green
Violet-Blue,#4655a7,70,85,167,Blue
Carmine,#960530,150,5,48,Brown
Sunset,#ddd4a2,221,212,162,Brown
Pale Robin Egg Blue,#98d4ca,152,212,202,Green
Mountain Meadow,#2cd394,44,211,148,Green
Mountain Meadow,#33c182,51,193,130,Green
Medium Slate Blue,#6a68f4,106,104,244,Blue
Egyptian Blue,#0f359d,15,53,157,Blue
Verdigris,#42a4bf,66,164,191,Blue
Goldenrod,#dba909,219,169,9,Orange
Plum (Web),#e6a1e9,230,161,233,Pink
Dark Violet,#7009cd,112,9,205,Purple
Shamrock Green,#12a25d,18,162,93,Green
Green (Ryb),#58a332,88,163,50,Green
Harlequin,#41d603,65,214,3,Green
Peru,#be8440,190,132,64,Brown
Tiffany Blue,#08aca6,8,172,166,Blue
Cornflower Blue,#65acf4,101,172,244,Blue
Turkish Rose,#b46d8f,180,109,143,Pink
Pear,#d4f51f,212,245,31,Yellow
Cerulean Blue,#265fc7,38,95,199,Blue
Violet (Web),#eb79f5,235,121,245,Pink
Vivid Violet,#9e09f4,158,9,244,Purple
Café Noir,#463018,70,48,24,Brown
Dark Jungle Green,#0e1730,14,23,48,Black
Crimson,#e01b43,224,27,67,Red
Lapis Lazuli,#255991,37,89,145,Blue
Ube,#8176ca,129,118,202,Blue
Sap Green,#61781b,97,120,27,Green
Cobalt,#094bae,9,75,174,Blue
Dark Yellow,#999331,153,147,49,Green
Persian Indigo,#341e6b,52,30,107,Blue
Russet,#824921,130,73,33,Brown
Neon Green,#32ee24,50,238,36,Green
Antique Brass,#d1a576,209,165,118,Brown
Bright Turquoise,#27eada,39,234,218,Blue
Olive Drab (Web) (Olive Drab #3),#599439,89,148,57,Green
Light Sky Blue,#90a9f9,144,169,249,Blue
Medium Aquamarine,#5fdba1,95,219,161,Green
Blue (Pigment),#355095,53,80,149,Blue
Straw,#efdd6e,239,221,110,Yellow
Pale Goldenrod,#def39a,222,243,154,Green
Radical Red,#f13363,241,51,99,Red
Cerulean,#177eae,23,126,174,Blue
Spiro Disco Ball,#0cc9ec,12,201,236,Blue
Copper,#b47433,180,116,51,Brown
Granny Smith Apple,#b5f49c,181,244,156,Green
Saddle Brown,#85530e,133,83,14,Brown
Catalina Blue,#11277b,17,39,123,Blue
Medium Spring Green,#22eba1,34,235,161,Green
Deep Carrot Orange,#e2732d,226,115,45,Orange
Sea Green,#55985c,85,152,92,Green
Yellow (Ryb),#eafd40,234,253,64,Yellow
Lime Green,#4fe22b,79,226,43,Green
Pastel Green,#76da7b,118,218,123,Green
Apple Green,#83a50f,131,165,15,Green
Lavender (Floral),#a483fd,164,131,253,Purple
Dark Jungle Green,#182640,24,38,64,Black
Han Blue,#3566c2,53,102,194,Blue
Medium Orchid,#c451d0,196,81,208,Pink
Tango Pink,#e3716b,227,113,107,Orange
Medium Spring Bud,#d0d384,208,211,132,Yellow
Pearl Aqua,#7bc5b5,123,197,181,Green
Ruddy Pink,#de949a,222,148,154,Red
Aquamarine,#5bf1d1,91,241,209,Green
Medium Sea Green,#37aa68,55,170,104,Green
Cornflower Blue,#66adf3,102,173,243,Blue
India Green,#13aa04,19,170,4,Green
University Of California Gold,#b97d1e,185,125,30,Brown
Tumbleweed,#dfb088,223,176,136,Brown
Tyrian Purple,#6b092a,107,9,42,Brown
Deep Carrot Orange,#e46a23,228,106,35,Orange
Ball Blue,#249dc4,36,157,196,Blue
Yellow-Green,#9cc22e,156,194,46,Green
Violet,#9101fd,145,1,253,Purple
Olive Drab (Web) (Olive Drab #3),#7d9d1c,125,157,28,Green
Forest Green (Web),#16b11a,22,177,26,Green
Eton Blue,#77cf9b,119,207,155,Green
Raspberry Pink,#db4f9a,219,79,154,Pink
Aquamarine,#69e5d2,105,229,210,Green
Rose Pink,#ee66e2,238,102,226,Pink
Rose Vale,#a4414c,164,65,76,Brown
Medium Spring Bud,#b9ec80,185,236,128,Green
Vivid Auburn,#7c2723,124,39,35,Brown
Crimson Glory,#b9044c,185,4,76,Red
Purple Heart,#773391,119,51,145,Purple
Folly,#fd0851,253,8,81,Red
Blue Sapphire,#166383,22,99,131,Blue
Medium Taupe,#5b4b48,91,75,72,Brown
Desert Sand,#dfc2aa,223,194,170,Brown
New York Pink,#d78172,215,129,114,Brown
Light Green,#89eeae,137,238,174,Green
Fire Engine Red,#da1d25,218,29,37,Red
Pastel Blue,#afb8d8,175,184,216,Blue
Brick Red,#e44058,228,64,88,Red
Lime Green,#44e045,68,224,69,Green
Indigo (Web),#5014a1,80,20,161,Blue
Laurel Green,#a2b799,162,183,153,Green
Jazzberry Jam,#9c0d76,156,13,118,Purple
Tickle Me Pink,#fc88a7,252,136,167,Pink
Dark Orchid,#a720c7,167,32,199,Purple
Rich Electric Blue,#0d8adf,13,138,223,Blue
Little Boy Blue,#6ca1e1,108,161,225,Blue
Green (Ryb),#76b543,118,181,67,Green
Gainsboro,#d6dfe0,214,223,224,Grey
Dark Magenta,#880895,136,8,149,Purple
Deep Carrot Orange,#f96d2f,249,109,47,Orange
Antique Brass,#d1957c,209,149,124,Brown
Bright Cerulean,#26b5db,38,181,219,Blue
Shocking Pink,#dd13b7,221,19,183,Purple
Fire Engine Red,#c7261a,199,38,26,Red
Aquamarine,#7bf8d4,123,248,212,Green
Tiger'S Eye,#df803a,223,128,58,Orange
Iris,#464fc2,70,79,194,Blue
Light Green,#98f078,152,240,120,Green
Mardi Gras,#9a197e,154,25,126,Purple
Bright Turquoise,#33f7e5,51,247,229,Green
Ochre,#dc752a,220,117,42,Orange
French Rose,#e6488a,230,72,138,Pink
Neon Green,#4dfc32,77,252,50,Green
Light Sky Blue,#89acfe,137,172,254,Blue
Brass,#adaf4e,173,175,78,Green
Cordovan,#87363c,135,54,60,Brown
Dark Pastel Green,#00f138,0,241,56,Green
Oxford Blue,#0f1d4b,15,29,75,Blue
Violet (Web),#ed8cd8,237,140,216,Pink
Razzle Dazzle Rose,#ea2bdd,234,43,221,Pink
Forest Green (Web),#268b2c,38,139,44,Green
Dark Terra Cotta,#cd5253,205,82,83,Red
Lime Green,#2dc628,45,198,40,Green
Medium Ruby,#a9446a,169,68,106,Pink
Brass,#a5a822,165,168,34,Green
Aurometalsaurus,#63977f,99,151,127,Green
Stil De Grain Yellow,#f5d94e,245,217,78,Yellow
Rosy Brown,#c99b8f,201,155,143,Brown
Ball Blue,#3ab3ca,58,179,202,Blue
Majorelle Blue,#6237da,98,55,218,Blue
Sapphire Blue,#146ea0,20,110,160,Blue
Persian Indigo,#2a0855,42,8,85,Blue
Dark Pastel Green,#02b832,2,184,50,Green
Han Purple,#483cf9,72,60,249,Blue
Rackley,#548bb0,84,139,176,Blue
Indigo (Web),#610b88,97,11,136,Purple
Yellow (Munsell),#e0c701,224,199,1,Yellow
Dark Yellow,#8f840b,143,132,11,Green
Sea Green,#2ca73f,44,167,63,Green
Tiffany Blue,#14b6c6,20,182,198,Blue
Mountain Meadow,#23c385,35,195,133,Green
Dark Orchid,#9f2fb5,159,47,181,Purple
Carmine Pink,#e94757,233,71,87,Red
Tango Pink,#da7372,218,115,114,Red
Blue-Violet,#682ade,104,42,222,Blue
Cerulean,#027cae,2,124,174,Blue
Han Purple,#5711f3,87,17,243,Blue
Goldenrod,#cfa123,207,161,35,Yellow
Stormcloud,#4e6464,78,100,100,Grey
Warm Black,#083d43,8,61,67,Green
Light Green,#84f492,132,244,146,Green
Napier Green,#396e08,57,110,8,Green
Byzantine,#9e289c,158,40,156,Purple
Lavender Indigo,#a95bed,169,91,237,Pink
Purple Heart,#5335a0,83,53,160,Blue
Verdigris,#43c7af,67,199,175,Green
Lavender (Floral),#9d80e8,157,128,232,Blue
Regalia,#7c2d81,124,45,129,Purple
Veronica,#c725f2,199,37,242,Pink
Pink Pearl,#e6abca,230,171,202,Pink
Persian Blue,#1735bb,23,53,187,Blue
Puce,#d190a3,209,144,163,Pink
Piggy Pink,#f6dbeb,246,219,235,Pink
Tyrian Purple,#4b014d,75,1,77,Purple
Fuchsia Rose,#c24e71,194,78,113,Red
Mountain Meadow,#25c28d,37,194,141,Green
Tyrian Purple,#6d0a2e,109,10,46,Brown
Persian Blue,#4b32bb,75,50,187,Blue
Medium Turquoise,#50cac3,80,202,195,Green
Turquoise,#33dbef,51,219,239,Blue
Android Green,#b8c330,184,195,48,Yellow
Boysenberry,#8e3068,142,48,104,Purple
Hunter Green,#396a37,57,106,55,Green
Kenyan Copper,#861c0e,134,28,14,Brown
Persian Blue,#262bb0,38,43,176,Blue
Blue-Violet,#8c0ee0,140,14,224,Purple
Medium Spring Green,#12e49f,18,228,159,Green
Limerick,#b1c907,177,201,7,Green
Sea Green,#30775c,48,119,92,Green
Jungle Green,#23a697,35,166,151,Green
Shocking Pink,#f900d1,249,0,209,Pink
Sandstorm,#ebde39,235,222,57,Yellow
Veronica,#b828f7,184,40,247,Purple
Veronica,#d72be7,215,43,231,Pink
Raspberry Pink,#e03fa7,224,63,167,Pink
Screamin' Green,#66fc7c,102,252,124,Green
Ochre,#bf7419,191,116,25,Brown
Rose Madder,#df243e,223,36,62,Red
Orchid,#d073cd,208,115,205,Pink
Brass,#a19d3f,161,157,63,Green
Celestial Blue,#49aae4,73,170,228,Blue
Fuchsia (Crayola),#be3bc0,190,59,192,Purple
Turquoise,#32d9ae,50,217,174,Green
Light Green,#7fea9a,127,234,154,Green
Green-Yellow,#91f344,145,243,68,Green
Kelly Green,#5ad326,90,211,38,Green
North Texas Green,#02a51a,2,165,26,Green
Dark Lavender,#74487b,116,72,123,Purple
Jazzberry Jam,#a40d52,164,13,82,Red
Lapis Lazuli,#1c67a3,28,103,163,Blue
Persian Rose,#ef29a0,239,41,160,Pink
Deep Magenta,#d207c0,210,7,192,Pink
Green (Crayola),#21aa72,33,170,114,Green
Lemon Lime,#ebf716,235,247,22,Yellow
Denim,#1d59c9,29,89,201,Blue
Satin Sheen Gold,#c99333,201,147,51,Brown
Bittersweet Shimmer,#bb565d,187,86,93,Brown
Verdigris,#48a0ac,72,160,172,Blue
Cool Grey,#8a82ac,138,130,172,Blue
Rich Black,#063934,6,57,52,Green
Tea Green,#cfeca3,207,236,163,Green
Dark Tan,#97833f,151,131,63,Green
Dark Candy Apple Red,#a1040d,161,4,13,Red
Medium Sea Green,#40af7c,64,175,124,Green
Avocado,#677911,103,121,17,Green
Field Drab,#75542a,117,84,42,Brown
Rose Vale,#a55e44,165,94,68,Brown
Eton Blue,#87ce9c,135,206,156,Green
Carmine Pink,#ec3f45,236,63,69,Red
Caput Mortuum,#532238,83,34,56,Brown
Pastel Violet,#cb91c0,203,145,192,Pink
Moonstone Blue,#72acc0,114,172,192,Blue
Orchid,#de82d3,222,130,211,Pink
Twilight Lavender,#845361,132,83,97,Brown
Neon Green,#2afe17,42,254,23,Green
Medium Aquamarine,#66dfe1,102,223,225,Blue
Jet,#323127,50,49,39,Black
Asparagus,#6ea358,110,163,88,Green
Brown (Traditional),#8f4e09,143,78,9,Brown
Smoky Black,#05050d,5,5,13,Black
Dark Slate Blue,#52478b,82,71,139,Blue
Arsenic,#3e3856,62,56,86,Blue
Raspberry Pink,#e13db1,225,61,177,Pink
Burlywood,#dbb679,219,182,121,Brown
Persian Blue,#3218ca,50,24,202,Blue
Rich Maroon,#b6335b,182,51,91,Red
Rose Gold,#bc5a7c,188,90,124,Red
Blue Sapphire,#156287,21,98,135,Blue
Dark Orchid,#c933cb,201,51,203,Pink
Verdigris,#4bcbae,75,203,174,Green
Alloy Orange,#c36c12,195,108,18,Orange
Dark Cerulean,#1e487d,30,72,125,Blue
Verdigris,#59b4bb,89,180,187,Blue
Jungle Green,#25ad8f,37,173,143,Green
Jungle Green,#35aa8e,53,170,142,Green
Skobeloff,#0a6e76,10,110,118,Green
Ultramarine Blue,#494cf3,73,76,243,Blue
Chinese Red,#a0341d,160,52,29,Brown
Wild Blue Yonder,#a4b5cc,164,181,204,Blue
Dark Salmon,#ec947e,236,148,126,Orange
Cadet Blue,#66a17f,102,161,127,Green
Puce,#cf8c8a,207,140,138,Brown
Persian Pink,#fc7bcf,252,123,207,Pink
Maya Blue,#61adfe,97,173,254,Blue
Forest Green (Web),#367e1d,54,126,29,Green
Lincoln Green,#0e4807,14,72,7,Green
Ucla Blue,#466f94,70,111,148,Blue
Antique Fuchsia,#95617f,149,97,127,Purple
Pistachio,#95e069,149,224,105,Green
Purple Heart,#82329a,130,50,154,Purple
Medium Aquamarine,#69cf98,105,207,152,Green
Pale Robin Egg Blue,#8dd6ce,141,214,206,Green
Jungle Green,#27af85,39,175,133,Green
Granny Smith Apple,#acdf89,172,223,137,Green
Bisque,#f8e2c5,248,226,197,Orange
Apple Green,#8eb202,142,178,2,Green
Desert Sand,#eebba1,238,187,161,Orange
Light Slate Gray,#82959a,130,149,154,Grey
Pale Copper,#e97e68,233,126,104,Orange
Sandy Taupe,#956d05,149,109,5,Yellow
Satin Sheen Gold,#c9ad31,201,173,49,Yellow
Blue (Crayola),#2379dc,35,121,220,Blue
Dim Gray,#68606e,104,96,110,Grey
Light Slate Gray,#7875a7,120,117,167,Blue
Medium Spring Green,#04f0b3,4,240,179,Green
Tumbleweed,#e0b085,224,176,133,Brown
Tiffany Blue,#00b1c0,0,177,192,Blue
Spring Bud,#9ff809,159,248,9,Green
Burlywood,#dbb789,219,183,137,Brown
Moonstone Blue,#61a9c6,97,169,198,Blue
Mulberry,#c54b84,197,75,132,Pink
Shocking Pink,#f91bbc,249,27,188,Pink
Green (Ryb),#65b056,101,176,86,Green
Bright Green,#6adf13,106,223,19,Green
Turquoise,#36f0b4,54,240,180,Green
Palatinate Blue,#132fe0,19,47,224,Blue
Vivid Cerise,#e1148c,225,20,140,Pink
Ash Grey,#b8c8a4,184,200,164,Grey
Aureolin,#f9e90a,249,233,10,Yellow
Dollar Bill,#87ca68,135,202,104,Green
Malachite,#15d467,21,212,103,Green
Peach-Orange,#fbc394,251,195,148,Orange
Cerulean Blue,#2255d8,34,85,216,Blue
Lime Green,#32d50d,50,213,13,Green
Pale Aqua,#bbc5df,187,197,223,Blue
Lime Green,#50ef3d,80,239,61,Green
Robin Egg Blue,#05b4cc,5,180,204,Blue
Violet (Ryb),#9419a7,148,25,167,Purple
Shocking Pink,#e91ab3,233,26,179,Pink
Taupe Gray,#8f9883,143,152,131,Grey
Maya Blue,#6dcff9,109,207,249,Blue
Majorelle Blue,#6430e2,100,48,226,Blue
Orchid,#e869db,232,105,219,Pink
Dark Violet,#8e16c9,142,22,201,Purple
Urobilin,#ceb210,206,178,16,Yellow
Android Green,#a6b926,166,185,38,Green
Amethyst,#965fd3,150,95,211,Purple
Green (Ryb),#58b13e,88,177,62,Green
Tiffany Blue,#06bac6,6,186,198,Blue
Cadet Blue,#7ab09e,122,176,158,Grey
Violet (Color Wheel),#860cf5,134,12,245,Purple
United Nations Blue,#558fea,85,143,234,Blue
Persian Rose,#f72988,247,41,136,Pink
Peach-Yellow,#fce1ac,252,225,172,Yellow
Lavender Purple,#967abe,150,122,190,Blue
Sea Green,#367057,54,112,87,Green
Persian Indigo,#2d166b,45,22,107,Blue
La Salle Green,#04732d,4,115,45,Green
Sandstorm,#efc349,239,195,73,Yellow
Kelly Green,#50d70a,80,215,10,Green
Jazzberry Jam,#9e096a,158,9,106,Purple
Medium Blue,#1d09d2,29,9,210,Blue
Yellow-Green,#87ca39,135,202,57,Green
Ball Blue,#2eb2ca,46,178,202,Blue
Army Green,#395c21,57,92,33,Green
Light Crimson,#f07898,240,120,152,Pink
Green (Ryb),#83a138,131,161,56,Green
Blue Bell,#a29fd8,162,159,216,Blue
Steel Blue,#4463ac,68,99,172,Blue
Denim,#055ebb,5,94,187,Blue
Dark Pink,#d44f7c,212,79,124,Pink
Bleu De France,#3c8def,60,141,239,Blue
Copper,#b06945,176,105,69,Brown
Light Blue,#abd0e3,171,208,227,Blue
Purple (Munsell),#a00ab3,160,10,179,Purple
Turquoise,#27d79f,39,215,159,Green
Tiffany Blue,#0cb7aa,12,183,170,Green
Indigo (Dye),#014671,1,70,113,Blue
Kelly Green,#3ea91d,62,169,29,Green
Pear,#d3ef2f,211,239,47,Yellow
Pearl Aqua,#88d9a4,136,217,164,Green
Old Gold,#dbb53c,219,181,60,Orange
Mint,#3fcb8b,63,203,139,Green
Light Pastel Purple,#b394d3,179,148,211,Purple
Sky Magenta,#d860b3,216,96,179,Pink
Pastel Orange,#f1ba4b,241,186,75,Orange
Royal Blue (Web),#3c4bd9,60,75,217,Blue
Kelly Green,#20c217,32,194,23,Green
Prune,#692818,105,40,24,Brown
Smokey Topaz,#9c5540,156,85,64,Brown
Dark Jungle Green,#272821,39,40,33,Black
Lime (Color Wheel),#c4e607,196,230,7,Yellow
Medium Blue,#3506cc,53,6,204,Blue
Red-Violet,#c90da9,201,13,169,Pink
Blue (Pigment),#3815aa,56,21,170,Blue
Inchworm,#a3f548,163,245,72,Green
Blue (Ryb),#0153e5,1,83,229,Blue
Persian Indigo,#380e67,56,14,103,Purple
Rich Maroon,#9d226d,157,34,109,Pink
Citrine,#cad804,202,216,4,Yellow
Ube,#8173a6,129,115,166,Blue
Red-Violet,#bd0679,189,6,121,Pink
Turquoise,#27f7b4,39,247,180,Green
Charcoal,#2e3b69,46,59,105,Blue
Tiffany Blue,#10c3b2,16,195,178,Green
Magenta (Dye),#cc1e6b,204,30,107,Red
Turquoise,#35d6bd,53,214,189,Green
Deep Lilac,#984ab2,152,74,178,Purple
Dark Scarlet,#4e102b,78,16,43,Brown
Green (Pigment),#129550,18,149,80,Green
Lavender (Floral),#ba79eb,186,121,235,Purple
Vivid Cerise,#e6168b,230,22,139,Pink
Fern Green,#52703d,82,112,61,Green
Pale Silver,#c5c0a4,197,192,164,Grey
Shamrock Green,#09965d,9,150,93,Green
Blue (Pigment),#3837a8,56,55,168,Blue
Plum (Traditional),#8b2e8d,139,46,141,Purple
Medium Ruby,#b03b67,176,59,103,Pink
Pale Gold,#e9c282,233,194,130,Yellow
Turkish Rose,#b26282,178,98,130,Purple
Urobilin,#d7ad1f,215,173,31,Yellow
Medium Sea Green,#28b76b,40,183,107,Green
Pansy Purple,#7e1a4a,126,26,74,Purple
Spiro Disco Ball,#23d0fe,35,208,254,Blue
Yellow-Green,#97d43f,151,212,63,Green
Purple Pizzazz,#da44e8,218,68,232,Pink
Yellow-Green,#93ca34,147,202,52,Green
Red-Orange,#f85859,248,88,89,Orange
Midnight Blue,#2a1973,42,25,115,Blue
Blue (Ryb),#054dfa,5,77,250,Blue
Fuchsia Rose,#c74a76,199,74,118,Pink
Rich Maroon,#b52658,181,38,88,Red
Msu Green,#143f3e,20,63,62,Green
Taupe,#4d3c3c,77,60,60,Grey
Screamin' Green,#6bfa41,107,250,65,Green
Pastel Purple,#bb9fb5,187,159,181,Blue
United Nations Blue,#5993e4,89,147,228,Blue
Boysenberry,#942e74,148,46,116,Purple
Egyptian Blue,#1d2d9d,29,45,157,Blue
Sea Blue,#166e95,22,110,149,Blue
Celadon Green,#2e9272,46,146,114,Green
Ucla Blue,#4d5887,77,88,135,Blue
Dark Orchid,#a43fce,164,63,206,Purple
Dark Slate Blue,#452a8a,69,42,138,Blue
Dark Coral,#cc5642,204,86,66,Orange
Mint,#61b584,97,181,132,Green
Crimson,#d51c3b,213,28,59,Red
Citrine,#d0ce0e,208,206,14,Yellow
Spring Green,#07f16c,7,241,108,Green
Blue (Pigment),#2f1c9a,47,28,154,Blue
Celestial Blue,#42aadf,66,170,223,Blue
Dark Cerulean,#0f367c,15,54,124,Blue
Han Purple,#5930fe,89,48,254,Blue
Robin Egg Blue,#07ddcc,7,221,204,Green
Violet-Blue,#3147b9,49,71,185,Blue
Ufo Green,#23d97e,35,217,126,Green
Persian Blue,#4130bf,65,48,191,Blue
Red-Brown,#9d3026,157,48,38,Brown
Deep Carmine,#b42941,180,41,65,Red
Pastel Magenta,#f698ba,246,152,186,Pink
Midnight Green (Eagle Green),#154b58,21,75,88,Green
Purple Mountain Majesty,#9265ab,146,101,171,Purple
Palatinate Blue,#2142de,33,66,222,Blue
Straw,#dcf56f,220,245,111,Yellow
Majorelle Blue,#6a53fc,106,83,252,Blue
French Raspberry,#c42d4a,196,45,74,Red
Iris,#5c3ebb,92,62,187,Blue
Air Superiority Blue,#57a0ba,87,160,186,Blue
Persian Green,#07b48f,7,180,143,Green
Ball Blue,#3babcb,59,171,203,Blue
Catalina Blue,#072a7d,7,42,125,Blue
Satin Sheen Gold,#c49743,196,151,67,Yellow
Payne'S Grey,#456484,69,100,132,Blue
Purple (Munsell),#aa0fb5,170,15,181,Pink
Ua Red,#c5064b,197,6,75,Red
Majorelle Blue,#7354e6,115,84,230,Blue
Copper Red,#cb7346,203,115,70,Orange
French Lilac,#7e6198,126,97,152,Blue
Carmine Pink,#ec4051,236,64,81,Red
Turquoise,#38defb,56,222,251,Blue
Pale Aqua,#b9d9f7,185,217,247,Blue
Eggplant,#634473,99,68,115,Purple
Dark Pastel Green,#04c00a,4,192,10,Green
Paris Green,#50c89d,80,200,157,Green
Bondi Blue,#04a1b3,4,161,179,Blue
Raw Umber,#78703a,120,112,58,Brown
Camouflage Green,#68995d,104,153,93,Green
Dark Goldenrod,#b37b13,179,123,19,Orange
Ruddy Brown,#b96530,185,101,48,Orange
Light Thulian Pink,#eb7aab,235,122,171,Pink
Prune,#6b291a,107,41,26,Brown
Steel Blue,#2d8cae,45,140,174,Blue
Purple Heart,#681da0,104,29,160,Purple
Lavender Rose,#f393e1,243,147,225,Pink
Lapis Lazuli,#1c809a,28,128,154,Blue
Kelly Green,#53c222,83,194,34,Green
Pale Spring Bud,#ddebb9,221,235,185,Yellow
Avocado,#439b05,67,155,5,Green
Persian Orange,#d1904c,209,144,76,Orange
Light Khaki,#dae397,218,227,151,Yellow
Shocking Pink,#fe00bc,254,0,188,Pink
Persian Indigo,#36097d,54,9,125,Blue
Dark Green,#02391c,2,57,28,Green
Flame,#e25732,226,87,50,Orange
Persian Blue,#1a2fbf,26,47,191,Blue
Neon Fuchsia,#fc3d5f,252,61,95,Red
Purple Pizzazz,#f558dd,245,88,221,Pink
Jazzberry Jam,#a81d70,168,29,112,Pink
Cornflower Blue,#439eee,67,158,238,Blue
Carmine,#93031e,147,3,30,Red
Sapphire,#1c55b3,28,85,179,Blue
Dark Turquoise,#09c7df,9,199,223,Blue
Limerick,#9fc506,159,197,6,Green
Spring Green,#0ef485,14,244,133,Green
Olive Drab (Web) (Olive Drab #3),#70861d,112,134,29,Green
Inchworm,#d5ed55,213,237,85,Yellow
Dark Goldenrod,#b4a606,180,166,6,Yellow
Pale Aqua,#c1cbe8,193,203,232,Blue
Turquoise,#2ad7da,42,215,218,Blue
Pastel Brown,#6c734e,108,115,78,Grey
Dark Sienna,#3b021a,59,2,26,Brown
Rich Maroon,#bf2c5f,191,44,95,Pink
Neon Green,#32f814,50,248,20,Green
Green (Ryb),#7bb32a,123,179,42,Green
Tea Rose (Orange),#f67373,246,115,115,Red
Maya Blue,#5bc5f0,91,197,240,Blue
Khaki (Html/Css) (Khaki),#b8b598,184,181,152,Grey
Blue-Violet,#8b36f0,139,54,240,Purple
Plum (Web),#ea8fd5,234,143,213,Pink
Razzle Dazzle Rose,#f436ee,244,54,238,Pink
Pale Spring Bud,#e3f0c3,227,240,195,Yellow
Cool Grey,#7c95a8,124,149,168,Blue
Ucla Blue,#626688,98,102,136,Blue
Fern Green,#537546,83,117,70,Green
Green-Yellow,#94f631,148,246,49,Green
Light Khaki,#deee85,222,238,133,Yellow
Lincoln Green,#16660b,22,102,11,Green
Celeste (Colour),#bffafc,191,250,252,Blue
Orchid,#cc7fd2,204,127,210,Pink
Han Blue,#4d62ca,77,98,202,Blue
Celadon Green,#3b8b7c,59,139,124,Green
Deep Ruby,#8e455e,142,69,94,Red
Dark Olive Green,#5b7436,91,116,54,Green
Forest Green (Web),#2c9c19,44,156,25,Green
Dark Slate Gray,#29575c,41,87,92,Blue
Han Purple,#431cd8,67,28,216,Blue
Pine Green,#177b6a,23,123,106,Green
Green (Ryb),#5dbc40,93,188,64,Green
Moonstone Blue,#7ab7b8,122,183,184,Blue
Vermilion (Cinnabar),#dc4234,220,66,52,Red
Blue (Pigment),#2e2f8a,46,47,138,Blue
Bright Turquoise,#04def0,4,222,240,Blue
Rich Lilac,#c562ec,197,98,236,Pink
Blue (Pigment),#363097,54,48,151,Blue
Cordovan,#8c354b,140,53,75,Red
Persian Green,#169e99,22,158,153,Blue
Medium Aquamarine,#68d6be,104,214,190,Green
Pear,#d0ea51,208,234,81,Yellow
Camouflage Green,#5d8559,93,133,89,Green
Gamboge,#d5980d,213,152,13,Orange
Deep Lilac,#9150b6,145,80,182,Purple
Waterspout,#a9f5f0,169,245,240,Blue
Light Green,#91f2ac,145,242,172,Green
Onyx,#2b2845,43,40,69,Blue
Neon Green,#3ee70e,62,231,14,Green
