color_name,hex,R,G,B,color_class
Light Apricot,#fdd5b1,253,213,177,Orange
Light Blue,#add8e6,173,216,230,Blue
Light Brown,#b5651d,181,101,29,Brown
Light Carmine Pink,#e66771,230,103,113,Pink
Light Coral,#f08080,240,128,128,Pink
Light Cornflower Blue,#93ccea,147,204,234,Blue
Light Crimson,#f56991,245,105,145,Pink
Light Cyan,#e0ffff,224,255,255,Blue
Light Fuchsia Pink,#f984ef,249,132,239,Pink
Light Goldenrod Yellow,#fafad2,250,250,210,Yellow
Light Gray,#d3d3d3,211,211,211,Grey
Light Green,#90ee90,144,238,144,Green
Light Khaki,#f0e68c,240,230,140,Yellow
Light Pastel Purple,#b19cd9,177,156,217,Purple
Light Pink,#ffb6c1,255,182,193,Pink
Light Red Ochre,#e97451,233,116,81,Red
Light Salmon,#ffa07a,255,160,122,Orange
Light Salmon Pink,#f99,255,153,153,Pink
Light Sea Green,#20b2aa,32,178,170,Green
Light Sky Blue,#87cefa,135,206,250,Blue
Light Slate Gray,#789,119,136,153,Grey
Light Taupe,#b38b6d,179,139,109,Brown
Light Thulian Pink,#e68fac,230,143,172,Pink
Light Yellow,#ffffe0,255,255,224,Yellow
Lilac,#c8a2c8,200,162,200,Purple
Lime (Color Wheel),#bfff00,191,255,0,Green
Lime Green,#32cd32,50,205,50,Green
Lime (Web) (X11 Green),#0f0,0,255,0,Green
Limerick,#9dc209,157,194,9,Green
Lincoln Green,#195905,25,89,5,Green
Linen,#faf0e6,250,240,230,White
Lion,#c19a6b,193,154,107,Brown
Little Boy Blue,#6ca0dc,108,160,220,Blue
Liver,#534b4f,83,75,79,Brown
Lust,#e62020,230,32,32,Red
Magenta,#f0f,255,0,255,Purple
Magenta (Dye),#ca1f7b,202,31,123,Pink
Magenta (Process),#ff0090,255,0,144,Pink
Magic Mint,#aaf0d1,170,240,209,Green
Magnolia,#f8f4ff,248,244,255,Pink
Mahogany,#c04000,192,64,0,Orange
Maize,#fbec5d,251,236,93,Yellow
Majorelle Blue,#6050dc,96,80,220,Blue
Malachite,#0bda51,11,218,81,Green
Manatee,#979aaa,151,154,170,Grey
Mango Tango,#ff8243,255,130,67,Orange
Mantis,#74c365,116,195,101,Green
Mardi Gras,#880085,136,0,133,Pink
Maroon (Crayola),#c32148,195,33,72,Red
Maroon (Html/Css),#800000,128,0,0,Red
Maroon (X11),#b03060,176,48,96,Red
Mauve,#e0b0ff,224,176,255,Purple
Mauve Taupe,#915f6d,145,95,109,Pink
Mauvelous,#ef98aa,239,152,170,Pink
Maya Blue,#73c2fb,115,194,251,Blue
Meat Brown,#e5b73b,229,183,59,Brown
Medium Aquamarine,#6da,102,221,170,Blue
Medium Blue,#0000cd,0,0,205,Blue
Medium Candy Apple Red,#e2062c,226,6,44,Red
Medium Carmine,#af4035,175,64,53,Red
Medium Champagne,#f3e5ab,243,229,171,Yellow
Medium Electric Blue,#035096,3,80,150,Blue
Medium Jungle Green,#1c352d,28,53,45,Green
Medium Lavender Magenta,#dda0dd,221,160,221,Purple
Medium Orchid,#ba55d3,186,85,211,Purple
Medium Persian Blue,#0067a5,0,103,165,Blue
Medium Purple,#9370db,147,112,219,Purple
Medium Red-Violet,#bb3385,187,51,133,Purple
Medium Ruby,#aa4069,170,64,105,Purple
Medium Sea Green,#3cb371,60,179,113,Green
Medium Slate Blue,#7b68ee,123,104,238,Blue
Medium Spring Bud,#c9dc87,201,220,135,Green
Medium Spring Green,#00fa9a,0,250,154,Green
Medium Taupe,#674c47,103,76,71,Brown
Medium Turquoise,#48d1cc,72,209,204,Blue
Medium Tuscan Red,#79443b,121,68,59,Brown
Medium Vermilion,#d9603b,217,96,59,Orange
Medium Violet-Red,#c71585,199,21,133,Purple
Mellow Apricot,#f8b878,248,184,120,Orange
Mellow Yellow,#f8de7e,248,222,126,Yellow
Melon,#fdbcb4,253,188,180,Pink
Midnight Blue,#191970,25,25,112,Blue
Midnight Green (Eagle Green),#004953,0,73,83,Green
Mikado Yellow,#ffc40c,255,196,12,Yellow
Mint,#3eb489,62,180,137,Green
Mint Cream,#f5fffa,245,255,250,Green
Mint Green,#98ff98,152,255,152,Green
Misty Rose,#ffe4e1,255,228,225,Pink
Moccasin,#faebd7,250,235,215,Orange
Mode Beige,#967117,150,113,23,Yellow
Moonstone Blue,#73a9c2,115,169,194,Blue
Mordant Red 19,#ae0c00,174,12,0,Red
Moss Green,#addfad,173,223,173,Green
Mountain Meadow,#30ba8f,48,186,143,Green
Mountbatten Pink,#997a8d,153,122,141,Pink
Msu Green,#18453b,24,69,59,Green
Mulberry,#c54b8c,197,75,140,Purple
Mustard,#ffdb58,255,219,88,Yellow
Myrtle,#21421e,33,66,30,Green
Nadeshiko Pink,#f6adc6,246,173,198,Pink
Napier Green,#2a8000,42,128,0,Green
Naples Yellow,#fada5e,250,218,94,Yellow
Navajo White,#ffdead,255,222,173,White
Navy Blue,#000080,0,0,128,Blue
Neon Carrot,#ffa343,255,163,67,Orange
Neon Fuchsia,#fe4164,254,65,100,Red
Neon Green,#39ff14,57,255,20,Green
New York Pink,#d7837f,215,131,127,Pink
Non-Photo Blue,#a4dded,164,221,237,Blue
North Texas Green,#059033,5,144,51,Green
Ocean Boat Blue,#0077be,0,119,190,Blue
Ochre,#c72,204,119,34,Orange
Office Green,#008000,0,128,0,Green
Old Gold,#cfb53b,207,181,59,Yellow
Old Lace,#fdf5e6,253,245,230,White
Old Lavender,#796878,121,104,120,Purple
Old Mauve,#673147,103,49,71,Purple
